iter	Passed	Remaining
580	7391	5330
581	7407	5320
582	7427	5312
583	7447	5305
584	7465	5295
585	7480	5284
586	7495	5273
587	7510	5262
588	7524	5250
589	7538	5238
590	7568	5238
591	7586	5228
592	7610	5223
593	7624	5211
594	7635	5197
595	7644	5181
596	7655	5167
597	7665	5153
598	7675	5138
599	7685	5123
600	7695	5108
601	7705	5094
602	7715	5079
603	7725	5065
604	7736	5050
605	7745	5036
606	7755	5021
607	7766	5007
608	7775	4992
609	7786	4978
610	7796	4963
611	7806	4949
612	7816	4934
613	7826	4920
614	7835	4905
615	7845	4890
616	7854	4875
617	7864	4861
618	7874	4846
619	7883	4832
620	7894	4817
621	7908	4805
622	7922	4793
623	7938	4783
624	7954	4772
625	7970	4761
626	7985	4750
627	8006	4742
628	8023	4732
629	8043	4723
630	8061	4714
631	8076	4702
632	8092	4691
633	8108	4680
634	8122	4669
635	8139	4658
636	8158	4649
637	8172	4637
638	8186	4624
639	8201	4613
640	8213	4600
641	8227	4587
642	8241	4575
643	8256	4563
644	8268	4550
645	8280	4537
646	8290	4523
647	8301	4509
648	8312	4495
649	8321	4480
650	8331	4466
651	8341	4452
652	8353	4438
653	8362	4424
654	8372	4410
655	8382	4395
656	8392	4381
657	8402	4367
658	8411	4352
659	8421	4338
660	8431	4324
661	8441	4310
662	8450	4295
663	8460	4281
664	8478	4270
665	8504	4264
666	8530	4259
667	8562	4255
668	8581	4245
669	8606	4238
670	8623	4228
671	8646	4220
672	8664	4209
673	8684	4200
674	8698	4188
675	8722	4180
676	8750	4174
677	8772	4166
678	8796	4158
679	8812	4147
680	8832	4137
681	8851	4127
682	8871	4117
683	8897	4110
684	8918	4101
685	8932	4088
686	8949	4077
687	8964	4065
688	8978	4052
689	8992	4040
690	9004	4026
691	9017	4013
692	9031	4000
693	9043	3987
694	9054	3973
695	9066	3960
696	9077	3946
697	9088	3932
698	9100	3919
699	9113	3905
700	9122	3891
701	9132	3876
702	9143	3862
703	9152	3848
704	9163	3834
705	9174	3820
706	9183	3806
707	9193	3791
708	9203	3777
709	9213	3763
710	9223	3749
711	9233	3734
712	9242	3720
713	9253	3706
714	9262	3692
715	9272	3677
716	9282	3663
717	9292	3649
718	9302	3635
719	9311	3621
720	9321	3607
721	9336	3595
722	9350	3582
723	9365	3570
724	9379	3557
725	9393	3545
726	9408	3532
727	9424	3521
728	9436	3507
729	9449	3495
730	9462	3482
731	9472	3468
732	9484	3454
733	9499	3442
734	9515	3430
735	9528	3417
736	9540	3404
737	9552	3391
738	9565	3378
739	9580	3365
740	9593	3353
741	9606	3340
742	9618	3327
743	9631	3314
744	9644	3301
745	9657	3288
746	9669	3274
747	9683	3262
748	9697	3249
749	9711	3237
750	9726	3224
751	9741	3212
752	9753	3199
753	9762	3185
754	9773	3171
755	9783	3157
756	9793	3143
757	9803	3129
758	9813	3115
759	9823	3102
760	9833	3088
761	9842	3074
762	9854	3060
763	9864	3047
764	9874	3033
765	9883	3019
766	9894	3005
767	9904	2991
768	9913	2978
769	9925	2964
770	9935	2950
771	9946	2937
772	9955	2923
773	9964	2909
774	9974	2895
775	9984	2882
776	9994	2868
777	10005	2854
778	10015	2841
779	10025	2827
780	10033	2813
781	10043	2799
782	10053	2786
783	10064	2772
784	10074	2759
785	10084	2745
786	10094	2732
787	10104	2718
788	10113	2704
789	10124	2691
790	10133	2677
791	10143	2664
792	10153	2650
793	10163	2636
794	10173	2623
795	10183	2609
796	10193	2596
797	10203	2582
798	10212	2569
799	10222	2555
800	10233	2542
801	10242	2528
802	10252	2515
803	10261	2501
804	10271	2488
805	10280	2474
806	10290	2461
807	10300	2447
808	10310	2434
809	10321	2421
810	10335	2408
811	10348	2396
812	10363	2383
813	10377	2371
814	10392	2359
815	10406	2346
816	10420	2334
817	10433	2321
818	10450	2309
819	10467	2297
820	10482	2285
821	10496	2272
822	10511	2260
823	10525	2248
824	10542	2236
825	10556	2223
826	10571	2211
827	10581	2198
828	10591	2184
829	10601	2171
830	10611	2158
831	10621	2144
832	10631	2131
833	10640	2117
834	10650	2104
835	10660	2091
836	10670	2078
837	10680	2064
838	10690	2051
839	10700	2038
840	10710	2024
841	10720	2011
842	10730	1998
843	10740	1985
844	10750	1972
845	10760	1958
846	10771	1945
847	10780	1932
848	10791	1919
849	10801	1906
850	10811	1893
851	10820	1879
852	10830	1866
853	10840	1853
854	10849	1840
855	10859	1826
856	10869	1813
857	10881	1800
858	10890	1787
859	10900	1774
860	10910	1761
861	10922	1748
862	10932	1735
863	10941	1722
864	10951	1709
865	10961	1696
866	10970	1682
867	10979	1669
868	10988	1656
869	10997	1643
870	11007	1630
871	11017	1617
872	11027	1604
873	11038	1591
874	11047	1578
875	11057	1565
876	11067	1552
877	11078	1539
878	11087	1526
879	11096	1513
880	11105	1500
881	11115	1487
882	11124	1474
883	11134	1461
884	11144	1448
885	11154	1435
886	11164	1422
887	11174	1409
888	11184	1396
889	11194	1383
890	11205	1370
891	11214	1357
892	11224	1344
893	11235	1332
894	11245	1319
895	11255	1306
896	11267	1293
897	11278	1281
898	11290	1268
899	11301	1255
900	11314	1243
901	11332	1231
902	11348	1219
903	11363	1206
904	11379	1194
905	11394	1182
906	11412	1170
907	11427	1157
908	11443	1145
909	11458	1133
910	11473	1120
911	11487	1108
912	11499	1095
913	11510	1083
914	11523	1070
915	11537	1057
916	11553	1045
917	11568	1033
918	11583	1021
919	11597	1008
920	11610	995
921	11630	983
922	11642	971
923	11662	959
924	11672	946
925	11684	933
926	11696	921
927	11705	908
928	11715	895
929	11726	882
930	11736	869
931	11746	857
932	11756	844
933	11766	831
934	11776	818
935	11786	805
936	11795	793
937	11805	780
938	11816	767
939	11828	754
940	11837	742
941	11848	729
942	11861	716
943	11874	704
944	11885	691
945	11897	679
946	11907	666
947	11919	653
948	11932	641
949	11944	628
950	11955	616
951	11968	603
952	11980	590
953	11992	578
954	12003	565
955	12015	553
956	12025	540
957	12035	527
958	12045	514
959	12054	502
960	12064	489
961	12074	476
962	12085	464
963	12096	451
964	12106	439
965	12116	426
966	12128	413
967	12138	401
968	12147	388
969	12159	376
970	12169	363
971	12179	350
972	12188	338
973	12199	325
974	12210	313
975	12226	300
976	12244	288
977	12257	275
978	12273	263
979	12285	250
980	12298	238
981	12317	225
982	12340	213
983	12363	201
984	12383	188
985	12401	176
986	12422	163
987	12440	151
988	12456	138
989	12468	125
990	12477	113
991	12487	100
992	12496	88
993	12506	75
994	12517	62
995	12527	50
996	12536	37
997	12547	25
998	12556	12
999	12567	0
